track,frame_idx,instance.score,swim_bladder.x,swim_bladder.y,swim_bladder.score,mid_eye.x,mid_eye.y,mid_eye.score
,0,0.7329621911048889,111.5943832397461,122.3338623046875,0.8347011208534241,120.03470611572266,118.53790283203125,0.8272167444229126
,1,0.7338035702705383,111.59468841552734,122.32416534423828,0.8342020511627197,120.02996826171875,118.54158782958984,0.8265001773834229
,2,0.7342536449432373,111.59526824951172,122.32135009765625,0.8341107368469238,120.02982330322266,118.53987884521484,0.826383113861084
,3,0.7325292229652405,111.61132049560547,122.31039428710938,0.8319417238235474,120.03031158447266,118.54507446289062,0.8273094892501831
,4,0.7330195903778076,111.5885009765625,122.29425811767578,0.8323674201965332,120.0545654296875,118.56584930419922,0.8200872540473938
,5,0.7284177541732788,111.64923095703125,122.2625961303711,0.8307166695594788,120.05404663085938,118.53466033935547,0.8268383145332336
,6,0.7257688045501709,111.8670425415039,122.30620574951172,0.8163565397262573,120.18448638916016,118.57389068603516,0.8378986120223999
,7,0.7268701195716858,111.62957763671875,122.31172943115234,0.8350082635879517,120.08133697509766,118.5406723022461,0.8275786638259888
,8,0.8243114352226257,112.49945831298828,121.91101837158203,0.8246911764144897,120.89998626708984,118.00613403320312,0.8080884218215942
,9,0.76298588514328,115.97081756591797,120.40680694580078,0.8531273603439331,124.64411163330078,115.77446746826172,0.8320124745368958
,10,0.6773318648338318,122.20199584960938,117.08550262451172,0.89556884765625,130.89047241210938,112.09048461914062,0.8065791130065918
,11,0.7160772085189819,128.6735076904297,113.48577880859375,0.834967851638794,136.65553283691406,108.62268829345703,0.8919718265533447
,12,0.7697119116783142,131.94142150878906,110.72657012939453,0.8172712326049805,140.0084686279297,106.77686309814453,0.8682209849357605
,13,0.6136925220489502,133.55499267578125,110.0608901977539,0.8281320333480835,141.43113708496094,105.70893096923828,0.9020527601242065
,14,0.6420248746871948,133.65567016601562,110.20833587646484,0.855677604675293,141.56263732910156,105.59017181396484,0.900190532207489
,15,0.7321860194206238,134.18336486816406,110.07754516601562,0.853254497051239,141.9597930908203,105.2973403930664,0.9104007482528687
,16,0.7598251104354858,134.32945251464844,109.834228515625,0.794493556022644,141.74789428710938,105.2302474975586,0.9294018745422363
